caller_id,question,parentintent,childintent,answer
9201854,Will there be any additional charges or fees?,Service Management,Add Service Features,"No, there won't be any additional charges or fees."
9201854,Can I take a screenshot of my bill details?,Service Management,Add Service Features,"Yes, you can take a screenshot of your bill details."
9201854,What is the last bill amount for my account?,Service Management,Add Service Features,The last bill amount is one sixteen dollars.
9201854,When will the installation take place?,Service Management,Add Service Features,The installation will take place on December 20th from 8 am to 12 noon.
9202022,Can you send me the link to change my account information?,Account Management,Email Change,"Sure, I can send you the link to change your account information."
9202022,What should be my new email address?,Account Management,Email Change,Your new email address should be [email protected]
9202022,Can I change my username and password?,Account Management,Email Change,"Yes, you can change your username and password."
9202022,Can you send me the link to track my technician?,Account Management,Email Change,I can send you the link to track your technician.
9202022,Can you help me get into my account?,Account Management,Email Change,"Yes, I can help you get into your account."
9202022,How can I change my email and password associated with my account?,Account Management,Email Change,"To change your email and password, you can go to the link provided in the email sent to you."
9202022,Can you confirm the link that was sent to me?,Account Management,Email Change,"Yes, I can confirm the link that was sent to you."
9202022,What should be my username?,Account Management,Email Change,"Your username should be ""mike""."
9202022,How can I access my finance account online?,Account Management,Email Change,You can access your finance account online by logging in with your email and password.
9202022,Where can I get a link to track my technician?,Account Management,Email Change,You can get a link to track your technician from our support team.
9206455,How long have you had the problem?,Service Management,Update Profile,I've had this phone number for fifty years.
9206455,Is this for residential or business?,Service Management,Update Profile,It's for business.
9206455,What do you need?,Service Management,Update Profile,"I'm sorry, I didn't hear you."
9206455,Can you cancel those orders?,Service Management,Update Profile,"Yes, I can cancel those orders."
9206455,What is the correct address?,Service Management,Update Profile,"The correct address is 9169 East State Highway 22, Paris, Arkansas 72855."
9206455,Can you change the address?,Service Management,Update Profile,"Yes, I just need to change the address, but my internet is not working either."
9206455,Do you have somebody else there that speaks a little bit better English?,Service Management,Update Profile,"To be honest with you ma'am, I'm not able to transfer the call to somebody in the United States."
9206455,Can you change the service address?,Service Management,Update Profile,"Yes, we can change the service address."
9206455,Can you confirm the phone number and address for both numbers?,Service Management,Update Profile,"Yes, both phone numbers will have the same address, 9169 East State Highway 22, Paris, Arkansas 72855."
9206455,Can you disconnect the phone number 93444009?,Service Management,Update Profile,"Yes, I can disconnect that phone number."
9206455,Could you provide me with your account number?,Service Management,Update Profile,"Sure, it's 0479344400."
9206455,Can you confirm the new address?,Service Management,Update Profile,"Yes, the new address is 9169 East State Highway 22, Paris, Arkansas 72855."
9206455,Can you confirm the contact number and email?,Service Management,Update Profile,"Yes, the contact number is 4795183572 and the email is johndoe@example.com."
9206455,Why is my internet going to be disconnected?,Service Management,Update Profile,We ordered a disconnect order for Tuesday for in-home therapy.
9206455,Can you keep the internet service for the phone number 4009?,Service Management,Update Profile,"Yes, we can keep the internet service for that phone number."
9206455,How will the service address be different?,Service Management,Update Profile,"The service address will be 9169 East State Highway 22, Paris, Arkansas 72855."
9213003,Can you process my payment now?,Payments,Verify Payment,"Sure, I can process your payment now."
9213003,Can you provide me with the confirmation number for my payment?,Payments,Verify Payment,"Sure, your confirmation number is 12465358351306."
9213003,Do I need to restart or power cycle my modem?,Payments,Verify Payment,"Yes, please restart or power cycle your modem."
9213003,Is everything all set now?,Payments,Verify Payment,"Yes, everything is all set."
9213003,Can you verify if my credit card information was entered correctly?,Payments,Verify Payment,I'll go ahead and check your email to confirm.
9213003,Can you confirm if my payment went through?,Payments,Verify Payment,Today I'll go ahead and check your payment status.
9213003,Can you confirm the expiration date and security code of my credit card?,Payments,Verify Payment,The expiration date is [redacted] and the security code is [redacted].
9221539,Can I sign in with the account number and zip code?,Account Management,Online Account Access,"No, that process will not work. Please follow the instructions in the email to reset your password."
9221539,How do I reset my password?,Account Management,Online Account Access,"To reset your password, click on the link included in the email and create a new password."
9221539,Can you remove Jim's name from the account?,Account Management,Online Account Access,"Yes, I can proceed with the removal of Jim's name from the account."
9221539,Can you provide the new email address?,Account Management,Online Account Access,The new email address is othermail@gmail.com.
9221539,What services are on this account?,Account Management,Online Account Access,The services on this account are home internet and home phone.
9221539,Can I change the email address on the account?,Account Management,Online Account Access,"Yes, you can change the email address on the account. Please provide the new email address."
9221539,What is the email associated with the account?,Account Management,Online Account Access,The email associated with the account is jeanelle@gmail.com.
9221539,How can I set up my Bright Speed account online?,Account Management,Online Account Access,"To set up your Bright Speed account online, you can access the account online, check the bills, and make payments."
9221539,I am unable to sign in. What should I do?,Account Management,Online Account Access,Please work along with me and check the specific email for resetting the password.
9221539,What is the account name on file?,Account Management,Online Account Access,The account name on file is Jim and Sylvia Markley.
9221539,Do I need inside wire protection for my account?,Account Management,Online Account Access,"No, you do not need inside wire protection for your account."
9221539,I received an error with the password reset request. What should I do?,Account Management,Online Account Access,Please request a new temporary password.
9231597,Can you send the secure link to my email address?,Service Management,Update Profile,"Yes, I can send the secure link to your email address."
9231597,Can you send the terms and conditions via email or text?,Service Management,Update Profile,"Yes, I can send it to your email address."
9231597,What would you like to do?,Service Management,Update Profile,I would like to change the checking account that the autopay pulls from and set up an account online.
9231597,Can you help me create a password?,Service Management,Update Profile,"Yes, I can assist you in creating a password."
9231597,What is the billing address or the service address?,Service Management,Update Profile,"The billing address is 315 Nora Avenue, Delia, Kansas."
9231597,Do you have my permission to run a soft credit check?,Service Management,Update Profile,"Yes, you have my permission to run a soft credit check."
9231597,Can you send me the temporary password?,Service Management,Update Profile,"Yes, I have sent the temporary password to your email address."
9231597,Can you help me pay my bill?,Service Management,Update Profile,"Yes, I can help you pay your bill."
9231597,Can you help me set up an account online?,Service Management,Update Profile,"Yes, I can help you with that."
9231597,What is the zip code?,Service Management,Update Profile,The zip code is 66418.
9231597,What is the last bill amount?,Service Management,Update Profile,The last bill amount is $107.65.
9231597,Can you please verify to me the account number?,Service Management,Update Profile,"Yes, the account number is 313899046."
9231597,Can you help me log in to my online account?,Service Management,Update Profile,"Yes, I can assist you in logging into your online account."
9231597,Can I view my monthly bill?,Service Management,Update Profile,"Yes, you can view your monthly bill."
9256902,Can I get a free tablet along with the federal connectivity discount on my bill?,Account Management,Discounts and Promotions,"We do not offer free tablets, our services are only for internet connectivity."
9257107,How long will it take for the name change to be effective?,Payments,Manage Auto Pay,It will take one or two billing cycles for the name change to be effective.
9257107,What if I still can't access the link?,Payments,Manage Auto Pay,Please try again or we can explore other options.
9257107,Will the payment be automatically withdrawn next month?,Payments,Manage Auto Pay,"Yes, the payment will be automatically withdrawn next month."
9257107,How do I provide my card information?,Payments,Manage Auto Pay,You will need to input your card number into the automated system.
9257107,What if I don't receive the email?,Payments,Manage Auto Pay,"Please check your spam or junk folder, sometimes the email ends up there."
9257107,Can I still pay my bill while the name change is being processed?,Payments,Manage Auto Pay,"Yes, you can still pay your bill."
9257107,Can you send me the link through a text message?,Payments,Manage Auto Pay,"Yes, I can send you the link through a text message."
9257107,What was my previous balance?,Payments,Manage Auto Pay,Your previous balance was $16.97.
9257107,Can I pay the overdue bill with the same card?,Payments,Manage Auto Pay,"Yes, you can pay the overdue bill with the same card."
9257107,What happens after I input my card information?,Payments,Manage Auto Pay,"Once you're done, you'll be back with me so I can complete the update."
9257107,Can I use the same card to pay my bill?,Payments,Manage Auto Pay,"Yes, you can use the same card to pay your bill."
9257107,Can you guide me through the process step by step?,Payments,Manage Auto Pay,"Yes, I can guide you through the process."
9257107,Are you going to use a credit or debit card?,Payments,Manage Auto Pay,I will be using a debit card.
9257107,What if I have trouble accessing the link?,Payments,Manage Auto Pay,Please let me know if you have trouble accessing the link.
9257107,Can I try again if there's an issue with the automated system?,Payments,Manage Auto Pay,"Yes, you can try again."
9257107,When will the payment be withdrawn from my account?,Payments,Manage Auto Pay,The payment will be withdrawn on December 12th.
9257107,Can you send me the link through email?,Payments,Manage Auto Pay,"Yes, I can send you the link through email."
9258653,Can I proceed with your concern?,Account Management,Update Account Information,I will call back and get it taken care of.
9258653,Can I update the account under your name?,Account Management,Update Account Information,I cannot update the account under your name.
9258653,Can you provide your contact number?,Account Management,Update Account Information,My contact number is 785-766-3044.
9258653,Can you provide your date of birth?,Account Management,Update Account Information,Can you provide your date of birth?
9258653,Do I have your permission to run a credit check?,Account Management,Update Account Information,"Yes, you have my permission to run a credit check."
9258653,Can I help you with anything else?,Account Management,Update Account Information,"No, thank you."
9258653,Are you the account holder?,Account Management,Update Account Information,"I'm sorry, are you the account holder?"
9258653,Can you provide the account number?,Account Management,Update Account Information,"Yes, the account number is 444."
9267508,Will I receive any more notifications about terminating my service?,Billing,Account Sent To Collections,"No, rest assured that you will not receive any more notifications about terminating your service from Bright Speed."
9267508,Why do you keep sending me information about shutting off my service?,Billing,Account Sent To Collections,"We apologize for the confusion. We are shutting off services for accounts that have not been active for a year. However, it seems there was a mistake in sending you the notification. Please stay on the line with me and we will resolve this."
9267508,Can you confirm the email address you have on file?,Billing,Account Sent To Collections,The email address we have on file is wilderness418@gmail.com. Is that correct?
9267508,I hope we have resolved the issue.,Billing,Account Sent To Collections,"Yes, we have resolved the issue. Is there anything else I can assist you with?"
9267508,I think you don't have my new email address.,Billing,Account Sent To Collections,The email address we have on file is wilderness441@gmail.com. Is that correct?
9267508,Why does it make no sense to send a message about terminating my service?,Billing,Account Sent To Collections,We apologize for the confusion. That was the last notification you will receive about terminating your service. It was a mistake on our end.
9300021,Is this the same credit card or debit card?,Payments,Update payment method,"Yes, it is the same card."
9300021,Can you transfer me to someone who can update my card information?,Payments,Update payment method,"Yes, I can transfer you to our sticker design team for security purposes."
9302841,Is the account still under my mother's name?,Account Management,Update Account Information,"Yes, the account is still under your mother's name."
9302841,What information do you need to change the name on the account?,Account Management,Update Account Information,We need your name and your mother's name.
9302841,What is the social security number on the account?,Account Management,Update Account Information,The social security number on the account is 9805.
9302841,Can you bill me for the use of the social security number on the account?,Account Management,Update Account Information,"Yes, we can bill you for the use of the social security number on the account."
9302841,Will the account number remain the same after the name is changed?,Account Management,Update Account Information,"Yes, the account number will remain the same after the name is changed."
9325180,Do I need to provide the new expiration date for my credit card?,Payments,Manage Auto Pay,"No, you don't need to provide the new expiration date. We will automatically update it for you."
9325180,What information do you need to update my credit card?,Payments,Manage Auto Pay,"I need your account number, service address, and the last four digits of your social security number."
9325180,Can I update my credit card information for automatic payments?,Payments,Manage Auto Pay,"Yes, you can update your credit card information for automatic payments."
9325180,Do I need to provide the security code on the back of the credit card?,Payments,Manage Auto Pay,"No, you don't need to provide the security code."
9325180,How long will it take for the update to take effect?,Payments,Manage Auto Pay,It will take one to two billing cycles for the update to take effect.
9325180,Will my automatic payments continue with the new credit card?,Payments,Manage Auto Pay,"Yes, your automatic payments will continue with the new credit card."
